NO_OF_FRAMES	5975
NO_OF_CAMERAS	9
NO_OF_BODIES	1
FREQUENCY	50
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-15, 18:29:58	28922.40665050
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
New Body #1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1029.83811	-613.47651	377.91467	0.02701	0.03688	89.98683	0.17115	0.00023	1.00000	0.00047	-1.00000	0.00023	0.00064	0.00064	-0.00047	1.00000	
1030.50911	-613.19425	377.88383	0.03381	0.02522	90.00119	0.18511	-0.00002	1.00000	0.00059	-1.00000	-0.00002	0.00044	0.00044	-0.00059	1.00000	
1030.79546	-613.03128	377.54505	0.03870	0.03051	90.00993	0.16427	-0.00017	1.00000	0.00068	-1.00000	-0.00017	0.00053	0.00053	-0.00068	1.00000	
1030.01979	-613.50455	378.30698	0.02214	0.02766	89.98785	0.15570	0.00021	1.00000	0.00039	-1.00000	0.00021	0.00048	0.00048	-0.00039	1.00000	
1030.97415	-613.06560	377.94822	0.03278	0.02374	90.01163	0.20385	-0.00020	1.00000	0.00057	-1.00000	-0.00020	0.00041	0.00041	-0.00057	1.00000	
1030.87193	-613.10674	377.98728	0.03388	0.02067	90.00864	0.18347	-0.00015	1.00000	0.00059	-1.00000	-0.00015	0.00036	0.00036	-0.00059	1.00000	
1031.29420	-612.95361	377.86752	0.03482	0.02740	90.02057	0.17078	-0.00036	1.00000	0.00061	-1.00000	-0.00036	0.00048	0.00048	-0.00061	1.00000	
1030.90271	-613.08240	377.74889	0.03381	0.03669	90.01234	0.19216	-0.00022	1.00000	0.00059	-1.00000	-0.00022	0.00064	0.00064	-0.00059	1.00000	
1030.87535	-613.19354	378.22802	0.02403	0.02608	90.01034	0.21554	-0.00018	1.00000	0.00042	-1.00000	-0.00018	0.00046	0.00046	-0.00042	1.00000	
1030.43817	-613.37281	378.30992	0.02048	0.02578	89.99886	0.19807	0.00002	1.00000	0.00036	-1.00000	0.00002	0.00045	0.00045	-0.00036	1.00000	
1030.88194	-613.07511	377.90422	0.02853	0.02643	90.01201	0.17955	-0.00021	1.00000	0.00050	-1.00000	-0.00021	0.00046	0.00046	-0.00050	1.00000	
1031.21342	-612.84780	377.29631	0.03954	0.02845	90.02106	0.15044	-0.00037	1.00000	0.00069	-1.00000	-0.00037	0.00050	0.00050	-0.00069	1.00000	
1031.86019	-612.56891	377.11443	0.04223	0.02930	90.03780	0.17706	-0.00066	1.00000	0.00074	-1.00000	-0.00066	0.00051	0.00051	-0.00074	1.00000	
1030.44913	-613.35721	378.16812	0.01735	0.02610	90.00013	0.17703	-0.00000	1.00000	0.00030	-1.00000	-0.00000	0.00046	0.00046	-0.00030	1.00000	
1031.22986	-612.84173	377.28786	0.03253	0.04927	90.02524	0.17887	-0.00044	1.00000	0.00057	-1.00000	-0.00044	0.00086	0.00086	-0.00057	1.00000	
1031.55595	-612.85988	377.64567	0.03076	0.02357	90.02780	0.17187	-0.00049	1.00000	0.00054	-1.00000	-0.00049	0.00041	0.00041	-0.00054	1.00000	
1031.39199	-612.88330	377.77574	0.02244	0.03957	90.02804	0.15035	-0.00049	1.00000	0.00039	-1.00000	-0.00049	0.00069	0.00069	-0.00039	1.00000	
